2019-10-04 00:00:01 ||| [http-nio-7301-exec-1] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() is starting.
2019-10-04 00:00:02 ||| [http-nio-7301-exec-1] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() running time is 15 ms
2019-10-04 00:02:51 ||| [main] ||| DEBUG ||| c.objectspace.coorperation.CoorperationApplication ||| Running with Spring Boot v2.1.7.RELEASE, Spring v5.1.9.RELEASE
2019-10-04 00:04:28 ||| [http-nio-7301-exec-4] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() is starting.
2019-10-04 00:04:29 ||| [http-nio-7301-exec-4] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() running time is 16 ms
2019-10-04 00:06:35 ||| [main] ||| DEBUG ||| c.objectspace.coorperation.CoorperationApplication ||| Running with Spring Boot v2.1.7.RELEASE, Spring v5.1.9.RELEASE
2019-10-04 00:07:10 ||| [http-nio-7301-exec-1] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() is starting.
2019-10-04 00:07:10 ||| [http-nio-7301-exec-1] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() running time is 29 ms
2019-10-04 00:10:10 ||| [http-nio-7301-exec-8] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() is starting.
2019-10-04 00:10:10 ||| [http-nio-7301-exec-8] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.login() running time is 0 ms
2019-10-04 00:11:04 ||| [http-nio-7301-exec-2] ||| DEBUG ||| com.objectspace.coorperation.dao.ShiroDao ||| Cache Hit Ratio [com.objectspace.coorperation.dao.ShiroDao]: 0.0
2019-10-04 00:11:05 ||| [http-nio-7301-exec-2] ||| DEBUG ||| c.o.coorperation.dao.ShiroDao.queryUserByUserName ||| ==>  Preparing: SELECT * FROM tb_user WHERE user_name = ? 
2019-10-04 00:11:05 ||| [http-nio-7301-exec-2] ||| DEBUG ||| c.o.coorperation.dao.ShiroDao.queryUserByUserName ||| ==> Parameters: ObjectTest(String)
2019-10-04 00:11:06 ||| [http-nio-7301-exec-2] ||| DEBUG ||| c.o.coorperation.dao.ShiroDao.queryUserByUserName ||| <==      Total: 1
2019-10-04 00:11:10 ||| [http-nio-7301-exec-10] ||| DEBUG ||| com.objectspace.coorperation.aop.AutoLogAop ||| com.objectspace.coorperation.web.mapping.FrontendMapping.index() is starting.
